Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18
1,NaN,NaN,0.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.654777571128129,-0.816323261743394,-0.889648965285075,-0.827780402921782,-0.858714684103429,-0.692586137016808,-0.69029470878113,-0.832363259393137,-0.836946115864492,-0.406157607557116,-0.732686131141164,0.0761880360530039,-0.724666132316293,-0.561974727583188,0.203362303133107,-0.564266155818866,-0.506980449926928,-0.696023279370324
2,NaN,NaN,0.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.719080775991829,-0.822302457295865,-0.89888628536015,-0.870028611017087,-0.86003941605218,-0.570352762069884,-0.686893369993796,-0.83007183115746,-0.821192546744209,-0.42162474814794,-0.712421312681891,-0.528176161106945,-0.792334872401145,-0.716860954888517,-0.13637773637227,-0.678014085580546,-0.658035695650732,-0.782345677436238
3,NaN,NaN,0.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.701195360245139,-0.7904955920584,-0.894002678932863,-0.865588968810461,-0.850367338387746,-0.626101983493078,-0.682929403737881,-0.810791099288687,-0.805717222481115,-0.388644548898724,-0.725549968921483,-0.603776925539763,-0.807746773204144,-0.736712497898141,-0.22628049105643,-0.700180584883625,-0.644367940000336,-0.784406939889314
4,NaN,NaN,0.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.679457803816911,-0.794287647356691,-0.892026537439387,-0.848230969205611,-0.848765061501145,-0.622576974342555,-0.644474758459443,-0.841821861659204,-0.824463862054354,-0.381968395204551,-0.730196571892628,-0.54726996067228,-0.810844508518241,-0.725389741232823,-0.221473660396625,-0.651150912153616,-0.636196327878668,-0.771321678648735
5,NaN,NaN,0.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.711977348461229,-0.815864976096259,-0.891338893608888,-0.84605454310131,-0.845166614659985,-0.584115652910423,-0.645382715361851,-0.84605454310131,-0.778571981560607,-0.390547252701563,-0.679123996132202,-0.665805069512327,-0.797218478828433,-0.724408346639779,-0.32661640492616,-0.644494786920526,-0.654261999775101,-0.789227122856508
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.726039364131291,-0.809416474508196,-0.892289795698534,-0.851986660773141,-0.85324613373956,-0.603618591795413,-0.653745615858869,-0.824026360918651,-0.80488237182909,-0.412430595493085,-0.668607396862608,-0.662310032030515,-0.787753539485798,-0.726291258724575,-0.250462372011665,-0.66533276714992,-0.677927496814105,-0.771884180108925
7,NaN,NaN,0.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.770528394503898,-0.814402505722312,-0.89588299798508,-0.840518048114225,-0.864544347114785,-0.621147492022155,-0.63786143915298,-0.866633590506138,-0.780974611460663,-0.408044666104145,-0.694271010719512,-0.595031949630242,-0.795599315200134,-0.689047902241129,-0.194941840186135,-0.627415222196214,-0.655620007979481,-0.749635960590367
8,NaN,NaN,0.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.701475298275902,-0.825172915619114,-0.895901008703971,-0.854566408849185,-0.85946532438753,-0.664733431738314,-0.676980720584176,-0.841400573339882,-0.805577253465734,-0.38947561492755,-0.63564612072939,-0.724132782640747,-0.78812486686038,-0.700250569391315,-0.263940904257458,-0.61421336524913,-0.61421336524913,-0.729644062621386
9,NaN,NaN,0.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.722410507646798,-0.827852010054147,-0.895556553705182,-0.855599773845555,-0.863369147707149,-0.636947395169263,-0.668024890615639,-0.846720489432304,-0.78789523019452,-0.368349041668437,-0.616969005239449,-0.720190686543485,-0.816752904537584,-0.697992475510359,-0.291765213604152,-0.6258482896527,-0.624738379101043,-0.724630328750111
10,NaN,NaN,0.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.742265574181983,-0.845857225669905,-0.892226822050213,-0.855723097240183,-0.864602381653433,-0.629794638280811,-0.69392280348762,-0.8527633357691,-0.776796124677957,-0.383147849023854,-0.624861702495672,-0.721547243884399,-0.806393739388792,-0.662352014462729,-0.24897199566807,-0.54396155561939,-0.513377353751527,-0.682083757603286
11,NaN,NaN,0.25,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.694611120108802,-0.788772833886527,-0.892020327063858,-0.8052924327949,-0.841635550393321,-0.540152870315515,-0.679743481091266,-0.845765450120414,-0.686351320654615,-0.232062350674361,-0.405518139212276,-0.743343936888502,-0.811900272358249,-0.651660162947032,-0.192415313294266,-0.492246033481234,-0.48233427413621,-0.634314584093241
12,NaN,NaN,0.5,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.408449035792794,-0.731540417023326,-0.878191824106688,-0.754454699380101,-0.816323261743394,-0.484066167570152,-0.479483311098797,-0.763620412322811,-0.772786125265521,0.0887908913492303,-0.564266155818866,1.05348217856947,-0.548226158169123,-0.222843348702914,1.30783071272968,-0.227426205174269,-0.112854793390392,-0.490940452277185
13,NaN,NaN,0.5,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.537055445520195,-0.743498808128268,-0.896666464256838,-0.83895111557071,-0.818972725640897,-0.239599417676306,-0.47268063352413,-0.759037555851456,-0.741278987024955,0.0578566101675837,-0.52373651890032,-0.155246215750427,-0.683563638338827,-0.53261580331357,0.628350633718924,-0.454922064697629,-0.414965284838002,-0.663585248409014
14,NaN,NaN,0.5,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.501284614026815,-0.679885077653338,-0.886899251402262,-0.83007183115746,-0.799628570312029,-0.351097860522693,-0.464752701012299,-0.720476092113911,-0.710328338498768,0.123817008666015,-0.549993831379503,-0.306447744616063,-0.714387439944825,-0.572318889332818,0.448545124350603,-0.499255063303786,-0.387629773537209,-0.667707773315166
15,NaN,NaN,0.5,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.457809501170359,-0.687469188249919,-0.882946968415312,-0.795355831947758,-0.796424016538826,-0.344047842221646,-0.387843410455423,-0.782537616854946,-0.747821617645245,0.137169316054362,-0.559287037321792,-0.193433814881098,-0.720582910573018,-0.549673376002183,0.458158785670212,-0.40119571784377,-0.371286549293873,-0.641537250834007
16,NaN,NaN,0.5,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.522848590458995,-0.730623845729055,-0.881571680754312,-0.791002979739158,-0.789227122856508,-0.267125199357382,-0.389659324260238,-0.791002979739158,-0.656037856657751,0.120011601060337,-0.457141885800941,-0.43050403256119,-0.693330851193403,-0.547710586816096,0.247873296611143,-0.387883467377588,-0.407417893086739,-0.677348139249552
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.55097262179912,-0.717726842552929,-0.883473484933604,-0.80286721508282,-0.805386161015657,-0.306131077127363,-0.406385125254276,-0.746946615373839,-0.708658637194716,0.0762449154772938,-0.436108687261752,-0.423513957597567,-0.674400972508133,-0.551476410985687,0.400181362440132,-0.429559427836376,-0.454748887164746,-0.642662253754387
18,NaN,NaN,0.5,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.639950682544333,-0.72769890498116,-0.890659889506698,-0.779929989764987,-0.827982587766106,-0.341188877580847,-0.374616771842496,-0.832161074548813,-0.660843116457863,0.0850167742551733,-0.48743591497556,-0.288957792797021,-0.690092523936806,-0.476989698018795,0.511222426091194,-0.353724337928966,-0.410133909495498,-0.598165814717272
19,NaN,NaN,0.5,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.50184449008834,-0.749239724774766,-0.89069591094448,-0.808026711234907,-0.817824542311597,-0.428360757013164,-0.452855334704889,-0.781695040216302,-0.710048400468005,0.122154876608363,-0.370186134995316,-0.547159458818032,-0.675143627257297,-0.499395032319168,0.373224297948547,-0.327320624034797,-0.327320624034797,-0.558182018779308
20,NaN,NaN,0.5,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.543714908830133,-0.754597913644831,-0.8900070009469,-0.810093441227646,-0.825632188950834,-0.372788683875062,-0.434943674767815,-0.792334872401145,-0.674684353925577,0.164408023126589,-0.332831904015435,-0.539275266623508,-0.732399702611705,-0.494878844557256,0.317575679255159,-0.350590472841936,-0.348370651738624,-0.548154551036758
21,NaN,NaN,0.5,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.583425041900503,-0.790608344876346,-0.883347537636962,-0.810340088016903,-0.828098656843404,-0.358483170098159,-0.486739500511776,-0.804420565074736,-0.652486142892451,0.134810408415754,-0.348617298527881,-0.541988381305334,-0.71168137231412,-0.423597922461995,0.403162115127323,-0.186817004775317,-0.125648601039592,-0.463061408743108
22,NaN,NaN,0.5,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.488116133754141,-0.676439561309592,-0.882934547664253,-0.709478759126337,-0.782164994323178,-0.179199634167567,-0.458380855719069,-0.790424793777365,-0.471596534845768,0.436981405114742,0.0900698280389108,-0.585581767313541,-0.722694438253036,-0.402214219430601,0.516275479874931,-0.0833859604990047,-0.0635624418089571,-0.367523061723018
23,NaN,NaN,0.75,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.162120500457459,-0.646757572303257,-0.8667346829283,-0.68112899583842,-0.77393183938336,-0.275546198123497,-0.268671913416465,-0.694877565252485,-0.70862613466655,0.583739390255577,-0.395846180496567,2.03077632108594,-0.371786184021953,0.116288030177361,2.41229912232625,0.109413745470328,0.281270863146143,-0.285857625184046
24,NaN,NaN,0.75,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.355030115048561,-0.66469515896067,-0.894446643153525,-0.807873620124333,-0.777906035229613,0.0911539267172728,-0.258467897054463,-0.688003280545453,-0.661365427305701,0.537337968483107,-0.335051725118748,0.217683729606091,-0.57479240427651,-0.348370651738624,1.39307900381012,-0.231830043814712,-0.171894874025271,-0.544824819381789
25,NaN,NaN,0.75,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.301373867808491,-0.569274563248275,-0.879795823871662,-0.794554693504458,-0.748889802236313,-0.0760937375523086,-0.246575998286717,-0.630161084939135,-0.614939454516421,0.636278566230755,-0.374437693837523,-0.00911856369236246,-0.621028106685506,-0.407925280767496,1.12337073975764,-0.298329541723948,-0.130891607074083,-0.551008606741017
26,NaN,NaN,0.75,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.236161198523807,-0.580650729143147,-0.873867399391236,-0.742480694689906,-0.744082971576508,-0.0655187101007381,-0.131212062451403,-0.723253372050687,-0.671179373236136,0.656307027313274,-0.388377502750957,0.160402330910085,-0.630321312627796,-0.373957010771543,1.13779123173705,-0.151240523533923,-0.106376770709078,-0.511752823019279
27,NaN,NaN,0.75,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.33371983245676,-0.645382715361851,-0.871804467899737,-0.735951416377005,-0.73328763105303,0.0498652541956584,-0.133935933158626,-0.735951416377005,-0.533503731754895,0.630570454822237,-0.235159775469681,-0.195202995610054,-0.589443223558373,-0.371012826992412,0.822362998148446,-0.131272147834651,-0.160573786398377,-0.565469155642597
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.375905879466948,-0.626037210597662,-0.874657174168675,-0.753747769392498,-0.757526188291754,-0.00864356245931324,-0.159024634649682,-0.669866869829026,-0.612434902560342,0.564920426447672,-0.203609977660897,-0.18471788316462,-0.561048405530468,-0.376661563246799,1.05082509689193,-0.193786088522833,-0.231570277515388,-0.513440327399848
29,NaN,NaN,0.75,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.509372970584767,-0.640995304240009,-0.885436781028315,-0.719341931415748,-0.791420828417428,-0.0612302631395397,-0.111372104532013,-0.797688558591487,-0.540711621455063,0.578078214614491,-0.280600819231609,0.0171163640361993,-0.584585732673477,-0.264931493796461,1.21738669236852,-0.0800334536617172,-0.164647811011515,-0.446695668844176
30,NaN,NaN,0.75,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.302213681900779,-0.673306533930418,-0.885490813184988,-0.761487013620629,-0.776183760235664,-0.191988082288015,-0.228729948825603,-0.721989507092722,-0.614519547470277,0.633785368144275,-0.104726149261243,-0.370186134995316,-0.562162387654214,-0.29853949524702,1.01038950015455,-0.0404278828204642,-0.0404278828204642,-0.386719974937231
31,NaN,NaN,0.75,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.365019310013468,-0.681343817235515,-0.884457448188618,-0.764587108609738,-0.78789523019452,-0.108629972580862,-0.201862458919991,-0.737949255369986,-0.561473477656634,0.697165087921615,-0.0486948027914215,-0.35835984670353,-0.648046500685826,-0.291765213604152,0.92691657211447,-0.0753326560311728,-0.0720029243762039,-0.371678773323406
32,NaN,NaN,0.75,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.424584509619023,-0.735359464082788,-0.874468253223712,-0.764957078793623,-0.791594932033374,-0.0871717019155067,-0.279556197535933,-0.756077794380373,-0.528176161106945,0.652768665855363,-0.0723728945600894,-0.36242951872627,-0.616969005239449,-0.184843830461261,1.05529622592272,0.170327546068756,0.262080151672344,-0.244039059882931
