Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.591709106839992,-0.599626932561753,-0.595668019700872,0.551624927382317,-0.582207715973878,-0.57587345539647,-0.567163847102532,-0.611503671144395,-0.624963974871389,-0.284497468835659,-0.409599115239486,-0.366051073769799,-0.354966117759334,-0.511739067050204
2,NaN,NaN,0.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.592524882823446,-0.623116482202978,-0.60152241205272,0.21485340668341,-0.604521588462478,-0.557734436470253,-0.539139542729754,-0.618917635229316,-0.625515823330784,-0.326198017636935,-0.434168368388223,-0.388580886959901,-0.166041997355857,-0.516345802015593
3,NaN,NaN,0.25,NaN,NaN,-5,-0.0871557427476582,0.996194698091746,NaN,1,NaN,-0.609920106000042,-0.628724942089225,-0.5930947263413,0.209574856202236,-0.612889290645703,-0.573300162036897,-0.543608315580293,-0.613879018860923,-0.625755757443565,-0.303104359281798,-0.432758755475637,-0.367436693271107,-0.259556317812112,-0.539649402719412
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.587371515357636,-0.628165530489318,-0.59374020126427,0.149330530058401,-0.603723546739534,-0.577388169882372,-0.527127189213801,-0.612329879045796,-0.621108337998183,-0.306632955527366,-0.425400341353783,-0.386499719329478,-0.083040442210676,-0.525061669460298
5,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.568531471545382,-0.626115658612736,-0.597323565079059,0.0594960686579451,-0.60722084723126,-0.567631718622455,-0.534340860474141,-0.616218376460534,-0.617118129383462,-0.272512759902266,-0.466859391254585,-0.306703370973508,-0.235622890062243,-0.515446049092665
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.595592611836856,-0.6272639147239,-0.599363005037694,-0.0370088591326112,-0.610297145320126,-0.561659073029308,-0.550913452406918,-0.618026451381846,-0.616706813761552,-0.284912212087752,-0.470415557569013,-0.368237901826286,-0.261724293902594,-0.513963599038699
7,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.592173255244371,-0.628349527938624,-0.601046680622207,-0.0392905970869118,-0.609920106000042,-0.562822694379222,-0.549853841903923,-0.612650390731684,-0.607189821268401,-0.231775670667657,-0.542345558891909,-0.345765058213701,-0.429038742528775,-0.503439001466013
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.596256601435941,-0.627962938950073,-0.600460756686434,-0.0533950547160789,-0.616751858282093,-0.571557189339297,-0.540376371231477,-0.618328416501028,-0.614124261250535,-0.266405587407706,-0.556317126556261,-0.400938555423471,-0.503064493383354,-0.52391009650038
9,NaN,NaN,0.25,NaN,NaN,5,0.0871557427476582,0.996194698091746,NaN,1,NaN,-0.582867534784025,-0.623116482202978,-0.598043367417401,-0.0965810717058617,-0.613879018860923,-0.582207715973878,-0.588805904075346,-0.619157569342097,-0.615858475291363,-0.199512806088757,-0.563732789289769,-0.377663884828382,-0.467399243008342,-0.501050002325827
10,NaN,NaN,0.25,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.588848473030839,-0.622690792648044,-0.604173297008442,-0.191680118277982,-0.618221052321244,-0.568415374394036,-0.551174947419234,-0.609920106000042,-0.579270458044838,-0.194872789939983,-0.580547526709638,-0.328326465411602,-0.528187711452831,-0.487321514179225
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.582207715973878,-0.626547540015741,-0.610711888572219,-0.17443969130318,-0.621796844582684,-0.582999498546055,-0.534700761643312,-0.614670801433099,-0.579040585685174,-0.0920943037968637,-0.605961193139162,-0.322503032300113,-0.562413151669476,-0.514906197338909
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.553703543375538,-0.569539194819061,-0.561621369097299,1.73296452506908,-0.534700761643312,-0.522032240488494,-0.504613023900619,-0.593292671984344,-0.620213279438332,0.0607197326331264,-0.189483560174526,-0.102387477235153,-0.080217565214222,-0.393763463795963
13,NaN,NaN,0.5,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.555335095342447,-0.61651829410151,-0.573330153800995,1.05942148367126,-0.579328506620511,-0.485754202636061,-0.448564415155062,-0.608120600154188,-0.621316976357123,-0.0226813649694243,-0.238622066472001,-0.147447103615358,0.297630675592731,-0.40297693372674
14,NaN,NaN,0.5,NaN,NaN,-5,-0.0871557427476582,0.996194698091746,NaN,1,NaN,-0.59012554169564,-0.627735213874005,-0.556474782378155,1.04886438270892,-0.59606391098696,-0.516885653769349,-0.45750196085614,-0.598043367417401,-0.621796844582684,0.023505951740849,-0.235802840646828,-0.10515871623777,0.110602034680222,-0.449584135134379
15,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.545028360410826,-0.626616390674191,-0.557765732224094,0.928375730421247,-0.577732423174622,-0.525061669460298,-0.424539708123157,-0.594945087787146,-0.612502005691921,0.016448759249714,-0.22108601240312,-0.143284768354511,0.463633785883093,-0.420408668616151
16,NaN,NaN,0.5,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.507348272786319,-0.622516646921026,-0.564932459853672,0.748706807620335,-0.584727024158075,-0.505548766940464,-0.438967050643836,-0.602722082616623,-0.604521588462478,0.0846891504999124,-0.304004112204726,0.0163079283574297,0.158468890179959,-0.401177427880885
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.561470553369266,-0.624813159143355,-0.569011339770943,0.555696952039223,-0.590879620335807,-0.49360347575417,-0.47211223450939,-0.606338232459246,-0.603698957218659,0.0598902461289418,-0.31111644483358,-0.106761133348126,0.106266082499257,-0.398212527772953
18,NaN,NaN,0.5,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.554631840184297,-0.626984385572804,-0.572378690939968,0.551133476130622,-0.59012554169564,-0.495930718453998,-0.469993013503402,-0.595586111158923,-0.584664972232356,0.166163328969132,-0.454976447479372,-0.0618154461229564,-0.228362814753105,-0.377163332627581
19,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.562798532567437,-0.626211207595701,-0.571206843068423,0.522924560872287,-0.603789046259741,-0.513399708374149,-0.451038072158508,-0.60694216269761,-0.598533852196625,0.096903495489033,-0.482919582808077,-0.172162440542496,-0.376414316462264,-0.418105522696316
20,NaN,NaN,0.5,NaN,NaN,5,0.0871557427476582,0.996194698091746,NaN,1,NaN,-0.536020399263605,-0.61651829410151,-0.566372064530356,0.436552526892722,-0.598043367417401,-0.534700761643312,-0.547897137846247,-0.608600468379749,-0.602002280278281,0.230689058126932,-0.497750908275093,-0.125613099352319,-0.305083815712238,-0.372385334347208
21,NaN,NaN,0.5,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.547982275757234,-0.615666914991643,-0.578631923712438,0.246354433748481,-0.606727434338042,-0.507116078483628,-0.472635224534023,-0.59012554169564,-0.528826245785231,0.23996909042448,-0.531380383114831,-0.0269382605187583,-0.426660752601216,-0.344928358054004
