Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.543796475867642,-0.0232463907140479,-0.408491038571401,0.0162176951640224,0.136489194982903,-0.741116905257994,-0.722324483411294,-0.402853312017391,-0.583260561745713,-0.669705702240533,-0.647154796024493,-0.677222670979214,-0.628362374177793,-0.748633873996674
2,NaN,NaN,0.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.61395485076199,0.122439622459418,-0.38245011115526,-0.267279411551911,-0.207949051150187,-0.744248975565777,-0.70236872116456,-0.427820386756579,-0.573237936760806,-0.672121870763681,-0.665141828363478,-0.672121870763681,-0.665141828363478,-0.75122901796598
3,NaN,NaN,0.25,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.635127646042605,-0.0878923218666965,-0.420142340116355,-0.427959987604583,-0.35564674833848,-0.732848239645446,-0.69962323782048,-0.531543816823594,-0.553042347416219,-0.662489412251401,-0.674215883483741,-0.728939415901332,-0.57063205426473,-0.7484835346219
4,NaN,NaN,0.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.583204464964081,-0.0162062446192394,-0.551846364031826,-0.440269865365896,-0.396149746612374,-0.744735147673254,-0.725409806401051,-0.515018826890457,-0.562420607369447,-0.679831171325099,-0.687488382017859,-0.718846482950114,-0.702802803403378,-0.748746067559938
5,NaN,NaN,0.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.621241035372728,0.0936622546691077,-0.547950590170597,-0.457944780273244,-0.452801591136252,-0.740820182807783,-0.702246264280346,-0.490089712379441,-0.61352625166724,-0.680387710448131,-0.707389453417337,-0.726676412681056,-0.659814953900165,-0.751106561081766
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.593763723544964,-0.128586925230071,-0.594098383112097,-0.487007321629532,-0.459899896691758,-0.744695188321955,-0.732312784338033,-0.56330970293586,-0.630910935496729,-0.624552403721202,-0.663038253941499,-0.720265039921245,-0.687468402342209,-0.748041783993285
7,NaN,NaN,0.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.596810886972018,-0.171211985885961,-0.576238130424051,-0.497804496084929,-0.517091455348647,-0.733105399102295,-0.720247426259816,-0.479803334105458,-0.652100170194677,-0.626384224509719,-0.652100170194677,-0.72410481811256,-0.707389453417337,-0.738248588239287
8,NaN,NaN,0.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.602757699411664,-0.170267728505341,-0.637876037737685,-0.576418945667148,-0.536338233447233,-0.745521379128314,-0.732161141721676,-0.524123159246878,-0.65696209117574,-0.696279361258133,-0.61878998429963,-0.713838530421143,-0.693989034845566,-0.74399449485327
9,NaN,NaN,0.25,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.566723230520616,-0.0529921098656819,-0.576495289880901,-0.548575120280089,-0.542991086359927,-0.746808324445852,-0.696552019164391,-0.498318814998628,-0.678403908923863,-0.683987942844026,-0.628147603642402,-0.709116095484756,-0.653275756283133,-0.74262029900573
10,NaN,NaN,0.25,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.459230577557492,-0.225108322050685,-0.622098233562226,-0.56305870826051,-0.556951171160332,-0.732033901365422,-0.675030221763765,-0.544736096959977,-0.652635919063114,-0.634313307762581,-0.646528381962937,-0.689281141664179,-0.624134079262285,-0.734069747065481
