Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
1,NaN,NaN,0.25,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.727765507054338,-0.659639394151116,-0.694156624688749,-0.753199255871541,-0.122805624473729,-0.734123944258639,-0.407118602323174,-0.467977929850052,-0.13552249888233,-0.605138503828539,-0.716865328989823,-0.356251104688769,-0.68234809845219,-0.757740996731756
2,NaN,NaN,0.25,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.703240106409178,-0.698516695914555,-0.664271969828536,-0.741617816677993,-0.11458507351674,-0.732170995688746,-0.381457766462961,-0.550910117957574,-0.279904440828558,-0.614085733323162,-0.681984759183373,-0.478878107914568,-0.649511312032837,-0.752245490290896
3,NaN,NaN,0.25,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.717319503075844,-0.705056802753264,-0.649874651301655,-0.741163642591972,-0.106228270333945,-0.729582203398424,-0.342625882108124,-0.583111060656497,-0.247930585172646,-0.620580422753269,-0.693475363559717,-0.495909636140373,-0.683256446624233,-0.757513909688745
4,NaN,NaN,0.25,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.703046524011858,-0.699562040860086,-0.658328990230792,-0.744279574641152,-0.103134674715225,-0.736729861145647,-0.326722343620553,-0.589220074387327,-0.254709691817278,-0.644391057623707,-0.698400546476163,-0.47945885510653,-0.669363186878068,-0.759959748824123
5,NaN,NaN,0.25,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.712307367626536,-0.694594578271698,-0.689533781313173,-0.747100346716395,-0.108174730702608,-0.740774350518239,-0.302382813986007,-0.610458828836219,-0.283404825391538,-0.639558411347738,-0.68700338283391,-0.498488696128853,-0.688901181693357,-0.757221940633446
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.710698122979636,-0.687081070506519,-0.660978012509917,-0.72872166302491,-0.120271811151714,-0.729964665786653,-0.300507211604448,-0.616229913087169,-0.252651605277343,-0.618715918610655,-0.695160588457849,-0.486957625865897,-0.680866056697804,-0.758553729306742
7,NaN,NaN,0.25,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.715786665535522,-0.705823221523425,-0.681468136160524,-0.740695275565762,-0.143995684174669,-0.722982486210924,-0.3233376763924,-0.619473373418592,-0.315588331049658,-0.619473373418592,-0.664862396140363,-0.495483847934728,-0.647149606785526,-0.759515114255277
8,NaN,NaN,0.25,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.72363665172687,-0.69014337731045,-0.657294204325115,-0.7481125061081,-0.141368958026025,-0.73651868034857,-0.340396300231292,-0.610274799855909,-0.306258924383786,-0.621224524184354,-0.719127941709275,-0.474369397896973,-0.706245913087575,-0.75584172328112
9,NaN,NaN,0.25,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.707312012007992,-0.682880578415112,-0.659670716501876,-0.732965017280515,-0.142945896012474,-0.726246373042473,-0.348169938192663,-0.640736355467395,-0.312744359482987,-0.60225684755861,-0.677994291696536,-0.533848833498547,-0.6853237217744,-0.760450380072505
10,NaN,NaN,0.25,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.71461923169168,-0.663735218635965,-0.6579383057562,-0.74295969465942,-0.146521769474705,-0.729433564606635,-0.333311184489357,-0.667599827222475,-0.313988141556807,-0.575493322577319,-0.676617247257665,-0.522032903797263,-0.679193652982005,-0.759062230436546
