Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.613452223719501,-0.531021525699969,-0.409499981196946,-0.734123967212013,-0.790210833905716,-0.787661430874184,-0.726475758117417,-0.763017201569375,-0.733274166201503,-0.740922375296098,-0.566713168141416,-0.643195259087374,-0.310923063977711,-0.596456203509288
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.62723114010421,-0.549110147209409,-0.290709939941993,-0.759435897310795,-0.778465369939015,-0.784474677084769,-0.6763071484612,-0.770452960411343,-0.735398668727779,-0.73439711753682,-0.432930209058168,-0.691330416325584,-0.265671160168019,-0.580158234129138
3,NaN,NaN,0.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.620058741252826,-0.523263664862081,-0.205739629225151,-0.766608296162178,-0.777463818748056,-0.785605460687465,-0.735850982168857,-0.775654564983743,-0.734041728404545,-0.720472325172197,-0.472604559461317,-0.747611131636892,-0.180410076524769,-0.553116351973245
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.648671754488443,-0.554154997652758,-0.216595151811029,-0.758768196516822,-0.774347881709517,-0.780579755786595,-0.727608826131432,-0.788888921222699,-0.739033928606075,-0.669444668078703,-0.513647816151751,-0.731763408849484,-0.288261703697427,-0.584275722358636
5,NaN,NaN,0.25,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.605903991214377,-0.518474463721252,-0.180303649832751,-0.7725149775692,-0.742821930496063,-0.769215750116629,-0.678486995170934,-0.779113432474342,-0.744471544222349,-0.727975406959495,-0.473934893111547,-0.709829655970356,-0.233091289073883,-0.582809399046382
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.640985776460046,-0.538159854188258,-0.139943100662969,-0.755029072070575,-0.760637758739945,-0.79055075430992,-0.706420454269366,-0.775594256524933,-0.760637758739945,-0.710159578715613,-0.489551236387049,-0.734463887616218,-0.315681949636571,-0.534420729742011
7,NaN,NaN,0.25,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.628617903291691,-0.518601357084813,-0.159429691527063,-0.759127727713577,-0.747263198220678,-0.7968785033728,-0.728927107186198,-0.775306631567529,-0.76020632130384,-0.704119454610137,-0.411820591648725,-0.715983984103036,-0.280232173636576,-0.567138068646671
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.628543517526846,-0.534743068056343,-0.172112464433265,-0.761024564717143,-0.743618295743236,-0.794870087721964,-0.749420385401205,-0.791969042892979,-0.757156504945164,-0.672059189961615,-0.396459931208076,-0.686564414106538,-0.330702915084424,-0.501864559994517
9,NaN,NaN,0.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.601555009572352,-0.51997411256333,-0.129915448738943,-0.768540908137694,-0.736673370243545,-0.79530963996878,-0.715003444475524,-0.764716803590397,-0.772365012684992,-0.692058817191736,-0.475359559511521,-0.743046877822375,-0.305824257914647,-0.479183664058819
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.614302024730012,-0.501278490332096,-0.0100935062569418,-0.733274166201503,-0.735823569233034,-0.793610037947759,-0.694183319718013,-0.787661430874184,-0.759617997527333,-0.661041080308098,-0.45453943475401,-0.710329538917715,-0.282029829620349,-0.500428689321585
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.539762336093792,-0.48634627257598,0.0598329768936487,-0.756097393340931,-0.732060164757916,-0.798830244155181,-0.774793015572166,-0.790817834627509,-0.757432794928877,-0.65994847900887,-0.444948823349676,-0.667960888536541,-0.290042239148021,-0.485010870988035
