Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.789038011566979,-0.689709901786452,-0.699210851417633,-0.60549693914644,-0.764421914795283,-0.704393187580095,-0.0129831712382537,-0.366245752979432
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.785051599134316,-0.702112073799182,-0.719165060316686,-0.594755772313986,-0.763347798112038,-0.712188838559526,-0.0440218213736849,-0.381593440845186
3,NaN,NaN,0.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.786927779985673,-0.659823133576798,-0.721657826424359,-0.575315720018464,-0.764942111417652,-0.745704651420633,-0.178543107579946,-0.391185745761282
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.787764574262101,-0.712576406434923,-0.721102899693675,-0.555223849023409,-0.772261859246188,-0.743969404342147,-0.200599243034404,-0.402522106116668
5,NaN,NaN,0.25,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.788539710012896,-0.660642311131616,-0.721102899693675,-0.500189210716918,-0.755402656666383,-0.76296023023664,-0.243813061141261,-0.479841897258533
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.783888895508122,-0.690291253599549,-0.741450213152061,-0.501351914343112,-0.769355100180704,-0.75947211935806,-0.218233581365005,-0.469377564622792
7,NaN,NaN,0.25,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.790089981514488,-0.70249964167458,-0.729629392952428,-0.493988124710553,-0.776912673750962,-0.74513210796834,-0.222303044056682,-0.464145398304921
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.794540760986798,-0.693610584919488,-0.742856709474069,-0.4707840609448,-0.771624247580211,-0.758947027397843,-0.314269150231726,-0.525881210198935
9,NaN,NaN,0.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.789177321678873,-0.666793388379865,-0.730179489291702,-0.485899208085315,-0.764798052097397,-0.755533929656437,-0.317194662581503,-0.53124464950686
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.786180105595033,-0.710604369892458,-0.732832527452039,-0.442088226572722,-0.768397579547368,-0.761729132279494,-0.334059380833159,-0.482543473331159
