Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20
26,NaN,NaN,0.75,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,0.794764196971477,-0.521203850098607,-0.894963762201582,-0.359831186098715,-0.468107038072836,-0.560766180627613,-0.737755554046849,-0.784605682304882,-0.780441226459723,-0.26300758769878,1.16540076719058,-0.117251633118233,-0.254678676008463,-0.191170724369796,-0.407722428318038,-0.207828547750431,-0.193252952292376,1.00611033111327,0.213822606571867,-0.560766180627613
27,NaN,NaN,0.75,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,0.740095507004151,-0.485254797435254,-0.895372042186401,-0.330210473200064,-0.514263090356676,-0.624294546265521,-0.713319996955404,-0.767335438947019,-0.791342302054403,-0.4522453606626,1.09619730976368,-0.0651346930560292,-0.230181876919296,-0.107146703493952,-0.458247076439446,-0.242185308472988,-0.259190169840719,0.826120099805611,0.267960532558927,-0.505260516691407
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,0.792523538663484,-0.558253927373197,-0.903156876418687,-0.309835083044612,-0.538291698811078,-0.645865930506939,-0.745677073317531,-0.793364619327036,-0.745677073317531,-0.402992149667831,0.872372452911958,-0.147919229151873,-0.353086578262535,-0.228877156098242,-0.482841063916305,-0.262147537035107,-0.346432502075162,0.694930421248683,0.266851519861032,-0.524983546436332
29,NaN,NaN,0.75,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,0.818918040873396,-0.570719230097542,-0.899253151722095,-0.321768059673967,-0.565617771687222,-0.597246813831201,-0.713560065586478,-0.782939899966818,-0.792122525105393,-0.542151062999754,0.757700539949567,-0.246266475201243,-0.370742060413031,-0.329930393130478,-0.575820688507861,-0.363600018638584,-0.36257972695652,0.625062621281268,0.180215447901438,-0.570719230097542
30,NaN,NaN,0.75,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,0.673951597713494,-0.568466085966317,-0.905374901814478,-0.393103453111596,-0.620543473904992,-0.663055627324318,-0.767210403201668,-0.822476202646792,-0.805471341279061,-0.534456363230856,0.705835712777988,-0.194359135876246,-0.342088869008405,-0.254938954498786,-0.551461224598587,-0.380349807085798,-0.376098591743866,0.706898516613471,0.181873421884792,-0.601413004866295
31,NaN,NaN,0.75,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,0.646770954942201,-0.592774897097049,-0.895606151667058,-0.449499894934894,-0.634020731052821,-0.655729064713754,-0.787064483362396,-0.825054067269028,-0.808772817023328,-0.501599895721132,0.49589803599872,-0.336616559898045,-0.411510311028262,-0.340958226630231,-0.603629063927515,-0.461439478448407,-0.48314781210934,0.969139709807049,-0.0869707227973201,-0.625337397588448
32,NaN,NaN,0.75,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,0.504293401771672,-0.503504912756683,-0.90121044596932,-0.371283439672901,-0.454572556576071,-0.477477063724443,-0.795016821917778,-0.775235656653275,-0.786687910227461,-0.463942582227678,1.04046709183583,-0.198458522098824,-0.394187946821273,-0.221363029247196,-0.538902787440531,-0.316104399724551,-0.312981057840682,1.13000289250674,0.112834552326774,-0.530573875750214
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,0.424405257142048,-0.527866979450861,-0.904241244389963,-0.289798920302633,-0.539203553696014,-0.471184108225092,-0.837355456343556,-0.777271612844242,-0.748930177231357,-0.501792858687007,0.851794106184342,-0.260323827265234,-0.40316466275417,-0.143557112540151,-0.533535266573438,-0.454179246857362,-0.322674985613579,1.25877712158536,-0.0369933146357065,-0.511995775507646
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,0.872406059357348,-0.23136403305716,-0.872911075566993,0.349893046421629,-0.183441241929919,-0.152523312170409,-0.69513297944981,-0.593103811243427,-0.820350594975826,-0.140156140266605,2.18332628116057,0.0159794050189207,0.325158702614021,0.227767223871565,-0.118513589434948,0.0870906434657939,0.00206633662714127,2.2513457266315,1.55569230704252,-0.169528173538139
35,NaN,NaN,1,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,0.738921258265203,-0.309465412145313,-0.871365179079017,-0.205957560341736,-0.553448205682316,-0.590415295612165,-0.790037581233349,-0.810739151594065,-0.781165479650186,-0.123151278898874,1.04500876288435,-0.140895482065202,-0.0965349741493831,0.177021491331499,-0.232573865091227,-0.203000193147348,-0.0684399858026979,2.57101023518852,0.84982252805475,-0.353825920061132
36,NaN,NaN,1,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,1.3279302244808,-0.379641271195476,-0.905374901814478,-0.1047293457505,-0.127402494240807,-0.189753652589152,-0.624794689246925,-0.587950822950175,-0.748079934162971,-0.358385194485813,2.30004146600272,0.267960532558927,-0.0820561972601924,0.0511485501203634,-0.300285251479401,0.208443517771871,0.0511485501203634,1.60992750882899,0.803613665642439,-0.3739729840729
37,NaN,NaN,1,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,1.36147722990013,-0.393146832859983,-0.891493382330616,-0.177983280860128,-0.322351083492289,-0.445896606898658,-0.681882438124306,-0.744349275801683,-0.738796668008138,-0.0488851496602146,1.8556593235256,0.145456123113848,-0.0377799340731252,0.0468973347784308,-0.241838270485891,0.0246869036042521,0.0441210308816585,1.64327207542252,0.586888442700649,-0.445896606898658
38,NaN,NaN,1,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,1.28858564327703,-0.345214762642179,-0.892037755643709,-0.138488996995259,-0.383892486537409,-0.530601094415868,-0.649301695335713,-0.721322284657866,-0.753331435467711,-0.301202180278641,1.7633880469564,0.21494537653012,-0.00511753528756852,0.158929362612891,-0.309204467981102,-0.0211221106924913,-0.0437952591827987,1.40328510034564,0.659072344016729,-0.371889054983717
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,1.35848968548947,-0.442546935892769,-0.90241753462009,-0.111321810121323,-0.415930631143278,-0.559362940071092,-0.692444463818548,-0.756027858497888,-0.692444463818548,-0.235531232285615,1.46495490448744,0.104565995068995,-0.168990470411887,-0.00337790752616385,-0.34199645128358,-0.0477384154419826,-0.160118368828723,1.2283655289364,0.657593660419535,-0.398186427976951
40,NaN,NaN,1,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,1.39368235510269,-0.459167339525229,-0.897212568357967,-0.12723244562713,-0.452365394978137,-0.494537451170109,-0.649621786843811,-0.742128232684265,-0.754371732869031,-0.421076450061513,1.31205902053758,-0.0265636663301651,-0.192531113279215,-0.138115556902477,-0.465969284072322,-0.183008390913286,-0.181648002003867,1.13520846231318,0.542078897806743,-0.459167339525229
41,NaN,NaN,1,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,1.20039376422282,-0.456163147350264,-0.905374901814478,-0.222346303543969,-0.52559966460183,-0.582282535827598,-0.721155570330731,-0.79484330292423,-0.772170154433922,-0.410816850369649,1.24290591764214,0.0426461194364981,-0.154326858073047,-0.0381269720602218,-0.433489998859956,-0.205341442176239,-0.199673155053662,1.24432298942279,0.544289529784548,-0.500092372550234
42,NaN,NaN,1,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,1.16415290719443,-0.488574895524573,-0.892349901617918,-0.297541559308366,-0.543569340798935,-0.572513785680179,-0.747627677211701,-0.798280455753877,-0.776572122092945,-0.36700822702335,0.962989015269785,-0.1470304459259,-0.24688878076619,-0.152819334902149,-0.503047117965194,-0.31346100399305,-0.342405448874293,1.59397791368089,0.185830670208399,-0.531991562846438
43,NaN,NaN,1,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,0.974182836300389,-0.369548249737419,-0.899822294020933,-0.193252952292376,-0.304305108163269,-0.334844451027764,-0.758230795285545,-0.731855908266207,-0.747125579698455,-0.316798475698744,1.68908108971926,0.0371802711397276,-0.223792295156871,0.00664092827523196,-0.416745415982548,-0.119680899027909,-0.115516443182751,1.80846215728047,0.452237703707191,-0.405640200395459
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,0.867665310127557,-0.402031005329655,-0.903863358581791,-0.0846069264653519,-0.417146437656526,-0.326453843695297,-0.814682307853249,-0.734570516520829,-0.69678193570365,-0.36726551097785,1.43751710885061,-0.0453068024154858,-0.235761249734068,0.110382150551291,-0.409588721493091,-0.30378069520499,-0.128441680213279,1.9801611293853,0.252467214423884,-0.380869400072035
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,1.31685129965031,-0.0628613158678299,-0.864795119005121,0.663710033480656,-0.00295782695877925,0.0356895852406084,-0.642572498858643,-0.515036038600664,-0.799094518266162,0.0511485501203634,2.95550157690434,0.24631798172727,0.632792103721146,0.511052755293075,0.0782017386599347,0.335207029785862,0.228926646237546,3.04052588374299,2.17095910925677,0.0144335085309453
46,NaN,NaN,1.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,1.14999529828512,-0.160488039728022,-0.862862748395152,-0.0311032249735506,-0.465466531649276,-0.511675394061587,-0.761203251088067,-0.787080214038961,-0.750113124109113,0.0724046268300265,1.53260467905906,0.0502243728721172,0.105675007766891,0.447620589617993,-0.0643736059104145,-0.0274065159805657,0.140793743200247,3.44010651943927,1.28862188552206,-0.215938674622795
47,NaN,NaN,1.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,1.88625650605462,-0.248207863540726,-0.905374901814478,0.095432043265495,0.0670906076526108,-0.0108483402828207,-0.554649636105036,-0.508594803234099,-0.708756192250094,-0.221637767653647,3.10139555795702,0.561294391152279,0.123773478878379,0.290279413104074,-0.149012838895631,0.486898122668458,0.290279413104074,2.23875311148986,1.23086080750667,-0.241122504637505
48,NaN,NaN,1.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,1.92819026282878,-0.26508981562136,-0.888023002459651,0.00386462437845966,-0.176595128911742,-0.331027033169703,-0.626009322201763,-0.704092869298484,-0.697152109556553,0.165237288378351,2.54591787986062,0.40816387934593,0.179118807862213,0.284965393926658,-0.0759541126537448,0.257202354958935,0.281495014055693,2.28043381973177,0.959954278829431,-0.331027033169703
49,NaN,NaN,1.25,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,1.8370757795499,-0.205174727849104,-0.888703469101017,0.0532324792095461,-0.253521882718142,-0.436907642566216,-0.585283393716021,-0.675309130368712,-0.715320568881019,-0.150158999894682,2.43057878414913,0.49502544611627,0.219946806344159,0.425005428719733,-0.160161859522758,0.199941087088005,0.171599651475121,1.98045010088567,1.05018415547453,-0.238517593276027
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,1.92445583231546,-0.326839944412342,-0.901678192821493,0.0871914628019662,-0.293569563475478,-0.472859949635245,-0.639211854319566,-0.718691097668741,-0.639211854319566,-0.0680703149033995,2.05753735606292,0.357051219289863,0.0151056374387605,0.222121341045915,-0.201151838650856,0.166670706151141,0.0261957644177154,1.76180063662412,1.04833580097804,-0.271389309517569
51,NaN,NaN,1.25,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,1.96844666933198,-0.347615448952917,-0.89517198499384,0.0673031684197073,-0.339113018269052,-0.391828088509017,-0.585683508101144,-0.701316565401712,-0.716620940632669,-0.300001837123272,1.8664175011256,0.193139142540913,-0.014320166145399,0.0536992793255229,-0.356117879636782,-0.00241676318798783,-0.000716277051214636,1.6453543033451,0.903942347712049,-0.347615448952917
52,NaN,NaN,1.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,1.72683593073214,-0.34386020873421,-0.905374901814478,-0.0515891539763419,-0.430655855298668,-0.501509444330878,-0.675100737459794,-0.767210403201668,-0.738868967588784,-0.287177337508442,1.7799761225063,0.279651374749242,0.0334351528623107,0.178685010378342,-0.315518773121326,-0.0303330772666787,-0.0232477183634576,1.7817474622321,0.906705637684305,-0.398771740234173
53,NaN,NaN,1.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,1.68153485944665,-0.384374893952096,-0.889093651568779,-0.145583223681838,-0.45311795054505,-0.489298506646604,-0.708190871061007,-0.771506844238727,-0.744371427162562,-0.232416558325568,1.43007999454085,0.0425556680462442,-0.0822672505041182,0.0353195568259334,-0.402465172002873,-0.165482529537693,-0.201663085639247,2.21881611755473,0.458632063214119,-0.438645728104428
54,NaN,NaN,1.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,1.44407227082911,-0.235591586718154,-0.898434142072547,-0.0152224649118501,-0.154037659750467,-0.192211838331086,-0.721444768653311,-0.68847615987914,-0.70756324916945,-0.169654369169811,2.3376950876027,0.272819064378279,-0.0533966434924695,0.234644885797659,-0.294588044524566,0.0767426016687334,0.0819481714751814,2.48692142205421,0.791640855087608,-0.280706525040704
55,NaN,NaN,1.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,1.31092536311307,-0.276195031208449,-0.903485472773619,0.12058506737193,-0.295089321617038,-0.181723579165502,-0.792009159362941,-0.691869420197417,-0.644633694175944,-0.232738163268693,2.02324011151689,0.169710222434262,-0.0683578367139649,0.364321413642734,-0.285642176412744,-0.153382143552617,0.0657916251870203,2.70154513718525,0.541927743483475,-0.249743024636424
56,NaN,NaN,1.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,1.76129653994326,0.1056414013215,-0.85667916244325,0.977527020539682,0.177525588012361,0.223902482651626,-0.590012018267476,-0.436968265957901,-0.777838441556499,0.242453240507332,3.7276768726481,0.47665655843562,0.94042550482827,0.794338286714586,0.274917066754817,0.58332341610593,0.455786955847951,3.82970604085448,2.78622591147102,0.19839519060003
57,NaN,NaN,1.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,1.56106933830504,-0.0115106673107306,-0.854360317711287,0.143751110394635,-0.377484857616235,-0.432935492511009,-0.732368920942785,-0.763421276483858,-0.719060768568039,0.267960532558927,2.02020059523377,0.241344227809436,0.307884989683164,0.718219687904488,0.103826653270398,0.148187161186217,0.350027472203192,4.30920280369001,1.72742124298936,-0.0780514291844588
58,NaN,NaN,1.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,2.44458278762843,-0.116774455885975,-0.905374901814478,0.29559343228149,0.261583709546028,0.168056972023511,-0.484504582963148,-0.429238783518024,-0.669432450337217,-0.0848903408214807,3.90274964991133,0.85462824974563,0.329603155016951,0.529410276087784,0.00225957368813816,0.765352727565045,0.529410276087784,2.86757871415073,1.6581079493709,-0.10827202520211
