Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22
1,NaN,NaN,0.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.968257724440087,-0.902570326694082,-0.593963495774171,-0.251893273549691,-0.562978874195866,-0.98684849738707,-0.942230642314312,-0.931076178546122,-0.720380751813652,-0.812095231685433,-0.841840468400605,-0.778631840380865,-0.875303859705174,-0.903809711557214,-0.712944442634859,-0.638581350846929,-0.652214584341383,-0.881500784020835,-0.413013305756873,-0.955863875808765,-0.838122313811209,-0.851755547305663
2,NaN,NaN,0.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-1.01117142532604,-0.978947418884602,-0.797687382651522,-0.651672353463763,-0.696987362522033,-0.981968419488487,-0.834946390099433,-0.826890388489074,-0.654693354067647,-0.814806386073535,-0.873212397748639,-0.634553350041749,-0.845016392112382,-0.903422403787485,-0.753379373794547,-0.606357344405492,-0.651672353463763,-0.922555407612088,-0.584203339977005,-0.952765413650935,-0.890331401170652,-0.926583408417268
3,NaN,NaN,0.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-1.01470418013058,-0.99357368410341,-0.839321063105058,-0.737894682174635,-0.757968653400448,-0.984064960891183,-0.839321063105058,-0.866790707940381,-0.673446669291762,-0.841434112707775,-0.894260352775704,-0.716764186147464,-0.872073331947174,-0.921729997611027,-0.741064256578711,-0.650203123661873,-0.6597118468741,-0.929125671220537,-0.60794213160753,-0.952369216850426,-0.864677658337664,-0.892147303172987
4,NaN,NaN,0.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-1.00053532590263,-0.971969179651845,-0.781760449738068,-0.724976524873699,-0.679688732037086,-0.973711017837869,-0.852827447727831,-0.850040506630193,-0.675508320390629,-0.800920669784328,-0.868503991402043,-0.663315453088464,-0.829486816035115,-0.88522563798787,-0.672024644018582,-0.540690044792403,-0.659135041442007,-0.92215260753157,-0.590854984549882,-0.957337738889247,-0.86606541794161,-0.894283196555193
5,NaN,NaN,0.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-1.01120804351518,-0.985428838362027,-0.862391722858361,-0.827238261285885,-0.755759556088516,-0.970195671680621,-0.819035786918973,-0.76044668429818,-0.698342235520139,-0.827238261285885,-0.876453107487351,-0.669047684209742,-0.836612517705212,-0.92801151779365,-0.664360556000078,-0.548354132810907,-0.6807655047339,-0.926839735741234,-0.647955607266256,-0.929183299846066,-0.877624889539767,-0.906919440850164
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.996943486998066,-0.975374192363878,-0.79216512348313,-0.811135707920428,-0.706407686985759,-0.960041802202227,-0.799701383054112,-0.788786800227173,-0.671844841367122,-0.775793249242723,-0.861030943700717,-0.652614385910135,-0.801520480191935,-0.906768243165981,-0.629225994138125,-0.481099512915392,-0.647676836536044,-0.902870177870646,-0.62532792884279,-0.951725929572179,-0.880521270177392,-0.907807727244737
7,NaN,NaN,0.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-1.01325369692872,-0.994683930504838,-0.85595685192645,-0.849402816718022,-0.75218462779301,-0.963006093664103,-0.78277012543234,-0.759831002202842,-0.759831002202842,-0.803524570259028,-0.869064922343305,-0.64841240365957,-0.7969705350506,-0.893096384774207,-0.610180531610409,-0.486746201851686,-0.641858368451143,-0.918220186406514,-0.665889830882045,-0.950990362448652,-0.882172992760161,-0.88435767116297
8,NaN,NaN,0.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-1.0169212399469,-1.01258018208433,-0.890028779348501,-0.905055518103575,-0.786177318174545,-0.982192777046288,-0.693011537893086,-0.644592046348959,-0.732748913712059,-0.792188013676574,-0.858639591726791,-0.599177902555846,-0.768145231668456,-0.881346663623347,-0.613202858727248,-0.471283659373771,-0.630901017705447,-0.903385880464122,-0.619547481757168,-0.961823197844966,-0.866653852396164,-0.906725155743028
9,NaN,NaN,0.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-1.0080832913754,-1.0080832913754,-0.831925389495548,-0.846963259168218,-0.707325897921993,-0.972636884289821,-0.721289634046616,-0.700881096633706,-0.738475770815382,-0.757810174680244,-0.840518457879931,-0.655767487615695,-0.747068839199765,-0.903892337214756,-0.561243735387481,-0.437718377361974,-0.594541875376966,-0.906040604310852,-0.560169601839433,-0.959747281713246,-0.85125979336041,-0.897447535926469
10,NaN,NaN,0.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-1.01735475989539,-1.00265609029053,-0.836448057066276,-0.860192061812598,-0.725642701583442,-0.994741422041754,-0.680416025876162,-0.693984028588346,-0.752778707007809,-0.723381367798078,-0.826272055032138,-0.600138676495741,-0.704160030622484,-0.872629397632099,-0.484810653442179,-0.367221296603253,-0.569610670393328,-0.898634736163785,-0.518730660222639,-0.957429414583248,-0.785568046895587,-0.834186723280912
