Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15
1,NaN,NaN,0.25,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.524867956507166,-0.48849910968084,-0.657118308602897,-0.644444316527056,-0.663730826207684,-0.602013995229676,-0.673649602614864,-0.0432562576252116,-0.270286028722883,-0.590993132555031,0.0575846358477835,-0.4262312355691,-0.613585901038052,-0.298389228543226,-0.597605650159818
2,NaN,NaN,0.25,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.580853938894359,-0.517814604395394,-0.661526653672755,-0.641689100858395,-0.660644984658783,-0.620088210016092,-0.672547516347399,-0.156771143174047,-0.359555016387502,-0.621851548044035,0.0451310610254355,-0.510320417776636,-0.633313245225665,-0.387327590327605,-0.635517417760594
3,NaN,NaN,0.25,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.577848249074001,-0.515810811181822,-0.654312998103897,-0.651788218654796,-0.662248019229641,-0.616441306367392,-0.672707819804485,-0.195524503924524,-0.377308624259747,-0.638803638630852,0.0396406676202491,-0.518335590630922,-0.622933596379364,-0.434296503253726,-0.642771149193724
4,NaN,NaN,0.25,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.594456832252777,-0.502353908471821,-0.662471299044867,-0.654441813381912,-0.659165040242474,-0.622323870730092,-0.674751688882328,-0.233129977419797,-0.400804530969742,-0.631298001765159,0.0327876948298339,-0.537778109926035,-0.629408711020934,-0.447564476889304,-0.644523036974732
5,NaN,NaN,0.25,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.590480534291095,-0.530967875848016,-0.664756022735557,-0.658297284609952,-0.663833345860471,-0.614931471480887,-0.67075342242362,-0.209414984880371,-0.393489021460128,-0.637075716482963,0.0189475417035365,-0.519434414909434,-0.622774224919122,-0.476991278655455,-0.645841146796284
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.591103341181778,-0.533574438020135,-0.660038837211678,-0.652599754906293,-0.664502286594909,-0.613420588097933,-0.671941368900294,-0.196831978996379,-0.387272486014232,-0.644664733780549,0.0223729796022951,-0.543493214427315,-0.621355609223676,-0.459183614966286,-0.652103816085934
7,NaN,NaN,0.25,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.59507085174465,-0.520680028690801,-0.664502286594909,-0.650615999624857,-0.660534776032037,-0.610940893996138,-0.67392512418173,-0.193856346074225,-0.366443055559155,-0.637721590295523,0.0308039395483979,-0.537541948583007,-0.624827180966189,-0.448768899738747,-0.64416879496019
8,NaN,NaN,0.25,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.612565885024548,-0.537858505276853,-0.656039670979421,-0.651818915061472,-0.661526653672755,-0.602013995229676,-0.673766845834807,-0.187957839678892,-0.36396336145736,-0.641689100858395,-0.0132185446758088,-0.521819632788647,-0.634091740206087,-0.501982079974288,-0.653507217428652
9,NaN,NaN,0.25,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.602915702175783,-0.533484267325524,-0.660174093253594,-0.652058730738629,-0.661977507145808,-0.616441306367392,-0.676404818283525,-0.22239537091852,-0.415360657385473,-0.636729712654805,0.0499201268058719,-0.537541948583007,-0.631319470978162,-0.473520755409391,-0.658821532834433
10,NaN,NaN,0.25,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.588213958489252,-0.466169883566126,-0.652470379561851,-0.644276607747225,-0.658939146783925,-0.620557794599621,-0.673170434672488,-0.189737897609505,-0.343694557494862,-0.650745374969299,-0.00343740161377946,-0.525682542009205,-0.631339073303077,-0.456251107158946,-0.655920388746957
11,NaN,NaN,0.25,NaN,NaN,18,0.309016994374947,0.951056516295154,NaN,1,NaN,-0.598902222239188,-0.521496869100804,-0.658025909058456,-0.653747221196535,-0.658803852306078,-0.614850058815438,-0.674751688882328,-0.192037903732909,-0.387690630509829,-0.654914136067968,0.0355104961965108,-0.508271833891231,-0.629242008896444,-0.504382117653121,-0.659192823929889
12,NaN,NaN,0.5,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.368371706527217,-0.295634012874565,-0.63287241071868,-0.607524426566998,-0.646097445928253,-0.522663783972237,-0.665934998742612,0.594851691236691,0.140792149041348,-0.500622058622949,0.796533478182681,-0.171098264651085,-0.54580759558899,0.084585749400662,-0.513847093832522
13,NaN,NaN,0.5,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.480343671301603,-0.354265002303673,-0.641689100858395,-0.602013995229676,-0.639925762830452,-0.55881221354507,-0.663730826207684,0.367821920139019,-0.0377458262878894,-0.562338889600956,0.771626328537985,-0.339276629066156,-0.585262283964216,-0.0932909741680965,-0.589670629034074
14,NaN,NaN,0.5,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.474332291660888,-0.350257415876529,-0.627261789720679,-0.622212230822478,-0.643131831972167,-0.551518406247669,-0.664051433121855,0.290315198638067,-0.0732530420323796,-0.596243070774589,0.760645541727613,-0.35530697477473,-0.564502986271614,-0.187228800020337,-0.604178091900333
15,NaN,NaN,0.5,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.507549458018439,-0.323343610456528,-0.64357839160262,-0.62751942027671,-0.636965873997833,-0.563283534973069,-0.668139171277541,0.21510425164752,-0.120244855452369,-0.581231797043204,0.746939596146782,-0.394192013364955,-0.577453215554754,-0.213764747291493,-0.60768186746235
16,NaN,NaN,0.5,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.499596862095075,-0.380571545208917,-0.648147838984001,-0.63523036273279,-0.646302485233827,-0.548498736474659,-0.660142638360125,0.262534236726372,-0.105613836433141,-0.592787226478811,0.719259289894188,-0.357504623331754,-0.564184243351129,-0.272618350823796,-0.610318087105454
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.500842475876441,-0.385784669553155,-0.638713467936241,-0.623835303325471,-0.647640366702703,-0.545476969708751,-0.662518531313473,0.287700248494356,-0.0931807655413501,-0.607965261073984,0.726110165691705,-0.405622222367515,-0.561347011960238,-0.237003023445458,-0.622843425684753
18,NaN,NaN,0.5,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.508777497002185,-0.359995850894488,-0.647640366702703,-0.619867792762599,-0.639705345576959,-0.540517581505161,-0.666486041876345,0.293651514338664,-0.0515219046311947,-0.594078974103932,0.74297208558391,-0.393719690678899,-0.568290155445264,-0.21617359299038,-0.606973383433266
19,NaN,NaN,0.5,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.543767563561981,-0.394352804066591,-0.630715135471728,-0.62227362363583,-0.641689100858395,-0.522663783972237,-0.666169485182498,0.305448527129331,-0.0465625164276048,-0.602013995229676,0.654927117135497,-0.36227505909018,-0.58681927392506,-0.322599953461461,-0.625650228370189
20,NaN,NaN,0.5,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.524467197864452,-0.385604328163934,-0.638983980020073,-0.622753254990143,-0.642590807804502,-0.551518406247669,-0.671445430079935,0.236573464650074,-0.149357108283832,-0.592095218822496,0.781204460098858,-0.393719690678899,-0.581274735469209,-0.265677304331669,-0.636278859181752
21,NaN,NaN,0.5,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.495063710491389,-0.250975560645137,-0.623576552636588,-0.607189009007335,-0.636514087080736,-0.559751382712127,-0.664976662857861,0.301888411268104,-0.00602490850260898,-0.620126543451482,0.674489403259556,-0.370000877531295,-0.58131394011904,-0.231138007830777,-0.630476571006801
22,NaN,NaN,0.5,NaN,NaN,18,0.309016994374947,0.951056516295154,NaN,1,NaN,-0.516440237991261,-0.361629531714494,-0.634687611629798,-0.626130235905956,-0.636243498125041,-0.548335911143761,-0.668139171277541,0.297288399021296,-0.0940170545325436,-0.628464065648822,0.752385198880136,-0.335179461295348,-0.577119811305773,-0.327400028819128,-0.637021441372663
23,NaN,NaN,0.75,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.211875456547269,-0.102768916068291,-0.608626512834462,-0.57060453660694,-0.628464065648822,-0.443313572714798,-0.658220394870362,1.23295964009859,0.551870326805579,-0.410250984690866,1.53548232051758,0.0840347062669297,-0.478029290139928,0.46756072734455,-0.430088537505225
24,NaN,NaN,0.75,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.379833403708847,-0.190715400211952,-0.621851548044035,-0.562338889600956,-0.619206541002121,-0.497536217074048,-0.654914136067968,0.892414983452086,0.284063363811723,-0.502826231157877,1.49812159605054,-0.168232840355677,-0.537211322702768,0.200745641991413,-0.543823840307554
25,NaN,NaN,0.75,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.370816334247775,-0.184704020571237,-0.600210581337461,-0.59263624299016,-0.624015644714693,-0.486595506127947,-0.655395046439225,0.776154901200657,0.230802540194988,-0.553682502918327,1.48165041583498,-0.192278358918538,-0.506072376163863,0.0598389032130517,-0.565585034606943
26,NaN,NaN,0.75,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.420642083784102,-0.144333312441235,-0.624685484160373,-0.600597027171507,-0.614766707753193,-0.504243199216046,-0.661526653672755,0.663338480714838,0.160314820065003,-0.531165592321248,1.46109149746373,-0.250605916803876,-0.525497720088574,0.0200349823063171,-0.570840697949968
27,NaN,NaN,0.75,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.408713189899055,-0.230175214569818,-0.631539655232444,-0.612163440855627,-0.628771624607184,-0.482066001468431,-0.64953185429663,0.734483458333115,0.182261348593846,-0.548498736474659,1.41957103808484,-0.195574831754074,-0.505594261783137,-0.0682454229921375,-0.574795027414624
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.410581610571105,-0.237994901086176,-0.617388098660804,-0.59507085174465,-0.630778446810497,-0.477533351319569,-0.653095693726652,0.772232475985091,0.200910954931532,-0.571265788367418,1.42984735178111,-0.267751230307715,-0.5013384146968,-0.0148224319246294,-0.593583035283573
29,NaN,NaN,0.75,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.422484142259721,-0.199311673098174,-0.630778446810497,-0.589119585900342,-0.618875915121881,-0.470094269014184,-0.65904695957096,0.781159374751553,0.263399246296765,-0.550436357912341,1.45514023161942,-0.249897432774791,-0.511753129924339,0.0164217137579871,-0.569777971906341
30,NaN,NaN,0.75,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.474969242099415,-0.25084710285633,-0.605390599964035,-0.592728332210188,-0.621851548044035,-0.443313572714798,-0.658572124530191,0.798854893937553,0.27083832860215,-0.562338889600956,1.3230727789468,-0.202730485391713,-0.539546807644033,-0.143217826948634,-0.597793239311727
