Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.674984247916911,-0.488746261910137,-0.737460249612474,-0.562824949634876,-0.732402668522834,-0.769293260000214,-0.0850322890488069,-0.708602286924524,-0.698487124745242,-0.647018799538897,-0.726155068353277,-0.602690588812045,-0.685099410096193
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.705780011944454,-0.438025718963469,-0.717358575965253,-0.568646394323111,-0.691668637044105,-0.786468129964399,-0.085241346454738,-0.756074399409801,-0.736535572624702,-0.642821570081357,-0.728213479734753,-0.60193476588291,-0.689859486415855
3,NaN,NaN,0.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.709303548168045,-0.431667846755619,-0.728747609920236,-0.545463421272538,-0.692090772190696,-0.775604611191908,-0.0647807143495308,-0.734485201912686,-0.694640813076229,-0.608895688300176,-0.747554161451043,-0.602520586086343,-0.697509609072454
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.697340856366794,-0.415411336110345,-0.713091108895087,-0.508731582340482,-0.703247201064904,-0.741441563446015,-0.060243141597332,-0.737504000313942,-0.641033703578146,-0.598901778064961,-0.735928975061112,-0.592601677053644,-0.704822226317733
5,NaN,NaN,0.25,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.679818700429068,-0.398676692799033,-0.721236942624564,-0.481094811107243,-0.71621654963117,-0.761818452654495,-0.0225655843773055,-0.750522568419359,-0.680237066511851,-0.610788296769908,-0.740481782432572,-0.58861489438242,-0.703247201064904
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.701087892250541,-0.414763543466036,-0.717066777476826,-0.568938192811539,-0.664379642406374,-0.768890189021533,-0.0722971655080984,-0.758957368475464,-0.695041827570326,-0.61817043377901,-0.749024547929395,-0.586644525089314,-0.698064859910433
7,NaN,NaN,0.25,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.68609419167081,-0.381523683404939,-0.721236942624564,-0.559329268587624,-0.709104326223863,-0.783155122876417,-0.0819735681324616,-0.762236818737277,-0.716634915713953,-0.645094315558096,-0.741318514598138,-0.584849599637375,-0.706594129727166
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.699019501702046,-0.38229435776796,-0.706770283867285,-0.571131595975602,-0.703247201064904,-0.784982722080152,-0.0849461692469709,-0.763844225265864,-0.70219027622419,-0.642650176863944,-0.752218052018005,-0.615522439285607,-0.700076426542761
9,NaN,NaN,0.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.674081108436618,-0.382420182153759,-0.719025579044141,-0.626267841832871,-0.705637864395091,-0.78548601962335,-0.0620712959086517,-0.754407396330914,-0.703725333730941,-0.64921820980267,-0.753451130998839,-0.575107646566861,-0.703725333730941
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.702099682666414,-0.270632764834198,-0.687564449618875,-0.58620032441893,-0.712809854385653,-0.76942076204449,-0.0426591096675304,-0.760240614856571,-0.668056636844546,-0.646253787273237,-0.756033047395441,-0.585052806020441,-0.686034425087555
