Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12
1,NaN,NaN,0.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.48866329992676,-0.428410868480619,-0.449460596133277,-0.465875521367002,-0.456605916529134,-0.471282790855758,0.0209718493885185,-0.424355416364052,-0.391911799431514,-0.422810482224407,-0.447915661993633,-0.449074362598366
2,NaN,NaN,0.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.487960569467408,-0.426876663050278,-0.434472589236864,-0.4624825670499,-0.429566886908027,-0.469445499387604,0.206117185831906,-0.433048353076879,-0.361836545077633,-0.427984402285821,-0.464381548596547,-0.447607211601169
3,NaN,NaN,0.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.488277066391849,-0.42750965689916,-0.439594084923274,-0.462209228796974,-0.436659295260275,-0.467560904064796,0.239723404718014,-0.433551870911217,-0.365015900545882,-0.439939354295392,-0.467215634692678,-0.457375457587328
4,NaN,NaN,0.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.491764991681608,-0.412705351780405,-0.431423884168778,-0.451246926232242,-0.413867993543658,-0.467930835534922,0.282961347262021,-0.432644658020194,-0.355387112852033,-0.444096679388236,-0.461826966277844,-0.4446198681817
5,NaN,NaN,0.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.491293095907112,-0.433150749140669,-0.428291590477191,-0.45828432843452,-0.424605332180759,-0.466997302589722,0.309462740394994,-0.424940446571344,-0.358755354430869,-0.445214867201717,-0.467332416980307,-0.450241583060488
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.491021579868025,-0.425818593040102,-0.429228443116562,-0.452140972288874,-0.425735425965067,-0.466362542119965,0.297194373782019,-0.417460301999023,-0.356207751235292,-0.446735112411559,-0.466404125657483,-0.449895461262913
7,NaN,NaN,0.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.49181310099595,-0.429343156323508,-0.424431997151146,-0.458220772256995,-0.424235550784252,-0.463917716896935,0.32854692715536,-0.398108183987287,-0.351157502299509,-0.436611671898604,-0.467453751501035,-0.445451758408855
8,NaN,NaN,0.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.491237243508681,-0.430693243609714,-0.430134719625406,-0.45973649079372,-0.432145405968915,-0.466941450191291,0.331524437775152,-0.397070099754384,-0.356186144103053,-0.44610850557661,-0.469622365315969,-0.452866645786734
9,NaN,NaN,0.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.490331702163631,-0.430186909571481,-0.430560479711805,-0.451293622499782,-0.421408011273869,-0.465115717691767,0.36458356396764,-0.403663429608483,-0.346507198138925,-0.437845097448121,-0.466236428112739,-0.450546482219134
10,NaN,NaN,0.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.487256718098129,-0.441000928782798,-0.425355588279083,-0.459537256118721,-0.438790174146403,-0.461748010755115,0.396364904263854,-0.403758216061998,-0.36158381992155,-0.435218955118382,-0.476032886867203,-0.45103435367105
11,NaN,NaN,0.25,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.481537019212202,-0.456663035573029,-0.401779794253047,-0.462119264242267,-0.447355351372565,-0.474796972032555,0.345402578804953,-0.325713547511318,-0.39359545124919,-0.415901797867546,-0.473513153522147,-0.45682351288683
12,NaN,NaN,0.5,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.477655644181792,-0.35715078128951,-0.399250236594826,-0.432080087062275,-0.413540877386539,-0.442894626039788,0.541614654448766,-0.349039877056375,-0.2841526431913,-0.345950008777086,-0.396160368315537,-0.398477769525004
13,NaN,NaN,0.5,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.476250183263088,-0.354082370428827,-0.369274222801999,-0.425294178428072,-0.359462818144325,-0.43922004310348,0.91190532733554,-0.366425750482029,-0.224002134483538,-0.356297848899914,-0.429092141521365,-0.395543467530609
14,NaN,NaN,0.5,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.47688317711197,-0.355348358126591,-0.37951721417482,-0.424747501922219,-0.373647634848821,-0.435450852457864,0.979117765107757,-0.367432786150705,-0.230360845420036,-0.380207752919055,-0.434760313713628,-0.415079959502928
15,NaN,NaN,0.5,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.483859027691488,-0.325739747889081,-0.363176812665828,-0.402822896792755,-0.328065031415587,-0.436190715398115,1.06559365019577,-0.365618360368659,-0.211103270032337,-0.388522403104743,-0.423982976883959,-0.389568780691671
16,NaN,NaN,0.5,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.482915236142494,-0.366630542609609,-0.356912225282653,-0.416897701197311,-0.34953970868979,-0.434323649507715,1.11859643646172,-0.350209937470959,-0.217839753190008,-0.390758778731706,-0.434993878288884,-0.400812210449246
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.482372204064321,-0.351966230408476,-0.358785930561396,-0.40461098890602,-0.351799896258405,-0.433054128568201,1.09405970323577,-0.335249648326317,-0.212744546798856,-0.39379926915139,-0.433137295643236,-0.400119966854097
18,NaN,NaN,0.5,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.483955246320171,-0.359015356975288,-0.349193038630564,-0.416770588842262,-0.348800145896775,-0.428164478122141,1.15676480998245,-0.296545412302846,-0.202644048927289,-0.373552388125478,-0.435236547330342,-0.391232561145981
19,NaN,NaN,0.5,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.482803531345633,-0.3617155315477,-0.360598483579084,-0.419802025915712,-0.3646198562661,-0.434211944710854,1.16271983122203,-0.29446924383704,-0.212701332534377,-0.392546055481491,-0.439573774960208,-0.40606233590174
20,NaN,NaN,0.5,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.480992448655533,-0.360702863471234,-0.361450003751881,-0.402916289327836,-0.34314506687601,-0.430560479711805,1.22883808360701,-0.307655903545238,-0.193343440606121,-0.376019239224514,-0.432801900553748,-0.40142200876654
21,NaN,NaN,0.5,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.474842480524529,-0.382330901893867,-0.351040220886437,-0.419403556565713,-0.377909392621078,-0.423825065838502,1.29240076419944,-0.307845476452268,-0.223496684171371,-0.370766954565035,-0.452394818062677,-0.402397751670371
