Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17
1,NaN,NaN,0.25,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.587644405551044,-0.62718987629419,-0.582308905530144,-0.653553523456287,-0.342211404589617,-0.575404140797214,-0.614635758597953,-0.669560023518989,-0.601453935016905,-0.658261317592376,0.0736437440982246,-0.167081462727114,-0.440761228505075,-0.333737375144657,-0.576031846682025,-0.564105434870601,-0.669560023518989
2,NaN,NaN,0.25,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.588279410341494,-0.627751892028266,-0.601592614224014,-0.643634310695133,-0.299359529592753,-0.581272460929641,-0.620511377636018,-0.669092893558199,-0.608833128616263,-0.651108390067776,0.126195864687122,-0.253113663474523,-0.413105675045167,-0.39675612641751,-0.58080533096885,-0.560018047713686,-0.668625763597409
3,NaN,NaN,0.25,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.581681199645332,-0.62157539588004,-0.60204676835256,-0.641383003800769,-0.298237120103632,-0.586981827117076,-0.61153210172305,-0.66900206273249,-0.613484964475798,-0.662306533294497,0.165707273870627,-0.285404022014145,-0.416245826448257,-0.426568100998496,-0.573032807454591,-0.544855787736371,-0.667049199979742
4,NaN,NaN,0.25,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.578500823162285,-0.614321905655547,-0.59289621145397,-0.637756258688523,-0.323735928046655,-0.569796634892895,-0.61231324682415,-0.669560023518989,-0.616330564486945,-0.652821199924007,0.124529767826971,-0.275193339621206,-0.439233810852033,-0.454968305031316,-0.576826940802787,-0.525271364130242,-0.667551364687591
5,NaN,NaN,0.25,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.551551317174364,-0.605220170325776,-0.599884670304875,-0.627817582179002,-0.344094522244052,-0.578228817278867,-0.6118110821163,-0.669560023518989,-0.614321905655547,-0.651356552859446,0.216760685835323,-0.255901845427989,-0.396194110683435,-0.479051287478597,-0.580739640818114,-0.515144375855277,-0.664538376440494
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.580466285029567,-0.617399689348818,-0.598932987189193,-0.635542414277573,-0.312861092330431,-0.587593784108721,-0.611244121962277,-0.662432524439835,-0.606384463499217,-0.655305025360681,0.10733737610877,-0.275279733549439,-0.416533806209031,-0.469342094840943,-0.57657855825912,-0.538349245016386,-0.667616160133765
7,NaN,NaN,0.25,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.55989810893997,-0.609028818194431,-0.591113752941423,-0.630744048804138,-0.349803252791057,-0.584056302993269,-0.610928900872781,-0.669560023518989,-0.608214497046567,-0.652730719796466,0.167833556867828,-0.221954832576409,-0.396762438984548,-0.461093809665804,-0.581341899167055,-0.518639170781527,-0.667117060075397
8,NaN,NaN,0.25,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.570755724244823,-0.606585854750839,-0.593285276002394,-0.63508709492608,-0.33215962792067,-0.582970541462783,-0.622600837325498,-0.669288583136368,-0.599799845185306,-0.638072939134914,0.159418905006566,-0.217340346071846,-0.389976429419015,-0.450779075126194,-0.576727412662493,-0.531668309147351,-0.668202821605882
9,NaN,NaN,0.25,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.581341899167055,-0.610386020107538,-0.593013835619773,-0.632372691099866,-0.350617573938921,-0.569941403096959,-0.620429314264528,-0.669560023518989,-0.610386020107538,-0.660873931275106,0.143132482049286,-0.266742495708929,-0.424720798394545,-0.476837351857842,-0.574013008836279,-0.530853987999487,-0.669560023518989
10,NaN,NaN,0.25,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.547237851094118,-0.589728710989074,-0.604664892043058,-0.63118948943203,-0.411009579067263,-0.577367733565087,-0.611360421481051,-0.665954738436993,-0.60260472913906,-0.647413272301013,0.129268142506166,-0.263192890705419,-0.421310393587252,-0.53616447548513,-0.567839480134097,-0.472041905098198,-0.668014901340991
11,NaN,NaN,0.25,NaN,NaN,18,0.309016994374947,0.951056516295154,NaN,1,NaN,-0.469466701468201,-0.586380946270077,-0.586380946270077,-0.617025869467045,-0.493931135953175,-0.587668548085076,-0.618055950919044,-0.66852994206699,-0.600544566235062,-0.643550466856017,0.0728711830092253,-0.299245741525381,-0.454530520414217,-0.544920167827121,-0.58329070191408,-0.407146773622267,-0.661061851539998
