Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15
1,NaN,NaN,0.25,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.533201575115022,-0.439962297222311,-0.419377002103141,0.192732802763941,-0.511405380282959,-0.57134491607113,-0.579215764204931,-0.545916022100391,-0.601617408893439,-0.582848463343608,-0.5683176667889,-0.46539119119305,-0.569528566501792,-0.451465844494788,-0.410295254256448
2,NaN,NaN,0.25,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.541331901758727,-0.492895913243033,-0.456222950509722,0.244023054888595,-0.564857953323493,-0.585616234115933,-0.598071202591397,-0.575237093719713,-0.613293941839187,-0.600147030670641,-0.578004864492038,-0.452763237044316,-0.576620979105876,-0.49635562670844,-0.441692153955014
3,NaN,NaN,0.25,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.508361767491095,-0.491998257857414,-0.457962157819359,0.273813992998827,-0.571197644484427,-0.579706669493941,-0.591488396430191,-0.576433967567205,-0.616360931073385,-0.597379259898316,-0.567924942557691,-0.463853021287484,-0.562034079089566,-0.470398425140956,-0.398398982752763
4,NaN,NaN,0.25,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.489672917014733,-0.491584863929827,-0.454620556904692,0.293588002535106,-0.54002085244552,-0.58781952532285,-0.595467312983223,-0.584632947131028,-0.609488257027239,-0.596741944259952,-0.578897106385748,-0.411283093495913,-0.562326899788274,-0.484574391907818,-0.391526308706617
5,NaN,NaN,0.25,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.482662444992725,-0.516440173826038,-0.4616310289267,0.189068237843346,-0.536196958615334,-0.589731472237943,-0.590368787876308,-0.57762247510902,-0.611400203942333,-0.592918050429765,-0.566150793618461,-0.385790467961337,-0.57188663436374,-0.50369386105875,-0.39343825562171
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.489110579686765,-0.504781046559489,-0.440674591171071,0.110640925169327,-0.54182033189502,-0.57743502933303,-0.594530084103275,-0.548943271382622,-0.61091284492476,-0.581708793025591,-0.563189150357826,-0.377280429731413,-0.573873559589229,-0.518314631585933,-0.400786130040499
7,NaN,NaN,0.25,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.493351966381655,-0.495553602223278,-0.470234790044619,0.167689195065486,-0.551144907224244,-0.575362901482091,-0.601782531581561,-0.563253904353168,-0.614992346631296,-0.58802230757142,-0.570959629798847,-0.3898750818254,-0.569858811878035,-0.504360145589767,-0.38106853845891
8,NaN,NaN,0.25,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.489672917014733,-0.498595335951835,-0.453345925627963,0.275743164660903,-0.520264067656224,-0.594192681706494,-0.591006103514672,-0.566788109256825,-0.617136044687612,-0.596104628621587,-0.559777637234817,-0.362209789341855,-0.561052268511545,-0.515165542549309,-0.395987518175167
9,NaN,NaN,0.25,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.495553602223278,-0.488398285738005,-0.439411888261905,0.156681015857373,-0.561602677471951,-0.586371080690204,-0.586371080690204,-0.578665355244525,-0.612240301829267,-0.584719853808987,-0.562153086432357,-0.340338275388895,-0.575362901482091,-0.486196649896382,-0.436659843459877
10,NaN,NaN,0.25,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.466838364020653,-0.472745191888421,-0.46920109516776,0.228395276015587,-0.577296045147906,-0.580840141868567,-0.6003326738322,-0.572570582853692,-0.610964963994181,-0.571979900066915,-0.510548890242133,-0.266006216516556,-0.571389217280139,-0.528860056632212,-0.377645263217363
