Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17
1,NaN,NaN,0.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-1.02442744661914,-0.648831333920024,-0.813544579356182,-0.673787886258836,-0.550252952181717,-0.991983928578687,-0.455418053294232,-0.263252600285381,-0.953301272453529,-0.610148677794866,-1.02692310185302,-1.08057968938147,-0.716214025234816,-0.665053092940252,-0.701240093831529,-0.838501131694994,-0.82976633837641
2,NaN,NaN,0.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-1.033004064606,-0.758411688731638,-0.878273440105368,-0.700660117615204,-0.638549937357908,-0.953459447785253,-0.626563762220535,-0.492536531139,-0.976342145774784,-0.67123950591438,-1.02537649860949,-1.09402459257808,-0.922949183799213,-0.774756473009874,-0.940383620362665,-1.00140414833475,-1.00031449604953
3,NaN,NaN,0.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-1.06728141220664,-0.803134131809135,-0.857289850384357,-0.678244413462195,-0.668297444744297,-0.894867287763082,-0.64066697608347,-0.510251164004365,-0.966706506281233,-0.673823538476463,-1.01312569363142,-1.09491188086747,-0.890446412777349,-0.79760803807697,-0.93686560012754,-0.989916099956328,-1.02086222485645
4,NaN,NaN,0.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-1.06968902487493,-0.796912736142594,-0.845947088977302,-0.752963427305559,-0.691579681905073,-0.915684835231108,-0.660706200490628,-0.531037578549956,-0.971983536633921,-0.67886707191089,-1.02065467204022,-1.09293494029287,-0.936751446078612,-0.773666820724658,-0.951280143214822,-1.00576275747561,-1.01702249775617
5,NaN,NaN,0.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-1.06746063686823,-0.793545612414405,-0.901229763249305,-0.710952914201229,-0.669133826498355,-0.922139307100742,-0.705725528238369,-0.552040380930308,-0.971276735151619,-0.683770507194361,-1.01936868600992,-1.0946430438751,-0.924230261485886,-0.750681047518959,-0.931548601833888,-0.991140801810484,-0.979640552692193
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-1.01960021037091,-0.828730080147809,-0.889230289727641,-0.775190071670081,-0.766891370356033,-0.937416297357596,-0.702375660140371,-0.609216045389125,-0.989885505665769,-0.738515165862837,-1.02629271143062,-1.0929500219854,-0.896190490829746,-0.831942480656472,-0.913590993585007,-0.996578006725486,-0.998719607064595
7,NaN,NaN,0.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-1.06334407042248,-0.788938978534635,-0.913448777937488,-0.735750326362542,-0.72366199632343,-0.906195779914021,-0.662011513123959,-0.526622216685905,-0.977516927144782,-0.738167992370365,-1.00048475421909,-1.08993839650852,-0.908613445921844,-0.785312479522901,-0.954549100070469,-0.992022923191716,-1.01378191726212
8,NaN,NaN,0.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-1.04933173392688,-0.756882752540864,-0.921334672821642,-0.724478433273716,-0.689238736070692,-0.872728193920919,-0.622809881573038,-0.413802022299931,-0.97925739351167,-0.681542710244744,-1.01773752264141,-1.0865967010841,-0.922144780803321,-0.799413421578996,-0.895816271398763,-0.984928149383421,-0.969131043740686
9,NaN,NaN,0.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-1.04542264144386,-0.73841743410133,-0.914024412701256,-0.786310246446765,-0.72859326746637,-0.888235975284483,-0.643859830239832,-0.485445143251088,-0.988933683292832,-0.73473337161322,-1.00489795407464,-1.0969995162774,-0.906656287725035,-0.823150871327868,-0.894376079431334,-0.971741391681651,-0.948408995923619
10,NaN,NaN,0.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-1.03191441232079,-0.734000224849417,-0.895659086267989,-0.750166110991274,-0.712060807942611,-0.83215024785355,-0.634695495692294,-0.477655458885681,-0.979952635436245,-0.701668452565702,-1.00882028926099,-1.08156677689935,-0.872564963208193,-0.788271414039938,-0.846006721689428,-0.945311450846551,-0.925681446245724
