Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11
1,NaN,NaN,0.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.849570399123962,-0.784189349569825,-0.883144451597709,-0.822181040526959,-1.05719940784318,-0.870775063844223,-0.78949051574989,-0.832783372887089,-0.527966317533339,-0.396320690728386,-0.740896492432625
2,NaN,NaN,0.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.922227559121327,-0.875842355045756,-0.962246166559074,-0.832185692386396,-1.06865928179127,-0.870385272213336,-0.786710002116228,-0.855833051326882,-0.343776778884798,-0.443823297479166,-0.684844455911053
3,NaN,NaN,0.25,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.894657921895038,-0.886927054549109,-0.95167306857126,-0.810584739508066,-1.06280428666898,-0.850205434655949,-0.764199535432495,-0.870498961439011,-0.414377788029233,-0.586389586476141,-0.626010281624024
4,NaN,NaN,0.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.969582911255994,-0.935567094933909,-0.942782571123442,-0.907735972488567,-1.06544566634551,-0.857227639161834,-0.833519645967654,-0.858258421474625,-0.492330700434012,-0.610870666404914,-0.742810802442093
5,NaN,NaN,0.25,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.937216346634374,-0.893923489497175,-0.990404713974362,-0.886501856845083,-1.06214716294458,-0.839498183381838,-0.783835938491154,-0.772703489513017,-0.27421716304755,-0.511709407914472,-0.673748387485132
6,NaN,NaN,0.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.967703249391494,-0.880389924072773,-0.982255470277948,-0.887666034516,-1.05865462993183,-0.90403728301326,-0.813085902472925,-0.789438543532438,-0.329224557998345,-0.653011472721936,-0.727591604765011
7,NaN,NaN,0.25,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.893439469976386,-0.906884456664957,-1.00234386215381,-0.859827003254958,-1.06284630225238,-0.8773054859501,-0.827559035202387,-0.882683480625529,-0.445721413246965,-0.609750250847534,-0.738822123057817
8,NaN,NaN,0.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.913885122147627,-0.935211652757085,-0.944808591531341,-0.920283081330464,-1.06743614253572,-0.897890224190534,-0.876563693581076,-0.855237162971618,-0.588655530353396,-0.700619816053049,-0.794456550734664
9,NaN,NaN,0.25,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.942438977019179,-0.928695212848639,-0.933849124412592,-0.894335802422291,-1.06613285455403,-0.885745949815704,-0.890899861379656,-0.872002185645164,-0.502638523561916,-0.722538750290548,-0.741436426025039
10,NaN,NaN,0.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.912477571127403,-0.827128795628353,-0.919899203779494,-0.908766754801357,-1.06338410171993,-0.848156754809278,-0.776414305839062,-0.74425389768,-0.572319407906551,-0.649009611978161,-0.635403285449327
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.910686142556208,-0.769931040533787,-0.897890224190534,-0.924548387452356,-1.05570655070052,-0.875497367050603,-0.80405348950892,-0.520410632403131,-0.537471856890697,-0.580124918109613,-0.708084101766359
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.629572002651256,-0.49880990354298,-0.696720107598748,-0.574793285457248,-1.0448300200897,-0.671981332091777,-0.509412235903111,-0.595997950177509,0.0136361605299911,0.276927414139897,-0.412224189268582
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.774886322645985,-0.682115914494843,-0.854923537521479,-0.594802589176122,-1.06774976798586,-0.671201748830003,-0.503851208635787,-0.642097307057096,0.382015237827072,0.181922200638336,-0.300120116225438
14,NaN,NaN,0.5,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.719747048193407,-0.70428531350155,-0.833777341545851,-0.551600683419463,-1.05603977774129,-0.63084207371523,-0.458830275268322,-0.671429127281354,0.240813219538203,-0.103210377355613,-0.18245176765138
15,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.86959702691532,-0.801565394271149,-0.815996346650216,-0.745903149380465,-1.06132253709435,-0.644886482727,-0.597470496338638,-0.646948047352581,0.0849073947286457,-0.15217253721316,-0.416052809287518
16,NaN,NaN,0.5,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.804863897672079,-0.71827818339768,-0.911240632352054,-0.703434918093498,-1.05472553029249,-0.609427571167008,-0.498103081385638,-0.475838183429364,0.521134469501568,0.0461499797677243,-0.277927979373596
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.865837703186319,-0.691211052548877,-0.894942144959226,-0.70576327343533,-1.04774046426699,-0.738505770429851,-0.556603009349181,-0.509308291468207,0.411119679599979,-0.236454149847203,-0.385614413933352
18,NaN,NaN,0.5,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.717310144356103,-0.744200117733246,-0.935118928710957,-0.650085210913247,-1.0561238089081,-0.685042176303532,-0.585549274808105,-0.695798165654389,0.178125969102739,-0.149931706098398,-0.408075450518965
19,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.758201448698585,-0.800854509917501,-0.820048387466013,-0.77099736706426,-1.06530348947478,-0.726211652784399,-0.683558591565483,-0.640905530346567,-0.107742265110123,-0.33167083650943,-0.519344305872658
20,NaN,NaN,0.5,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.815309158441689,-0.78782163010061,-0.798129453228515,-0.719102809247913,-1.0626969135114,-0.701923104034738,-0.712230927162643,-0.674435575693659,0.0642917484728364,-0.375508704984426,-0.41330405645341
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.755386346658137,-0.584688795660037,-0.77022961196232,-0.747964714006046,-1.05719940784318,-0.626744714021888,-0.483259816081456,-0.418938999763331,-0.0750700202164338,-0.228450428359654,-0.201237775301986
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.751803489515748,-0.470293285470905,-0.726211652784399,-0.779527979308043,-1.04184430580437,-0.681425938504537,-0.53853818342117,0.0287475307904067,-0.00537491818472557,-0.0906810406225568,-0.34659940793605
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.409573606178549,-0.213430457516136,-0.510295763599788,-0.327405530387538,-1.03246063233621,-0.473187600339332,-0.229333956056332,-0.359212527467929,0.555238638593321,0.95017551900818,-0.083551886104538
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.627545086170643,-0.488389473943931,-0.747600908483884,-0.357419485965848,-1.06684025418046,-0.47201822544667,-0.220992415155347,-0.42836156278731,1.10780725453894,0.807667698755838,0.084604223460178
