Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27
33,NaN,NaN,0.75,NaN,NaN,18,0.309016994374947,0.951056516295154,NaN,1,NaN,-0.540000856164001,-0.395727842886129,-0.126678169476042,0.310040140986707,-0.270951182753915,-0.39962711351526,0.91832635913125,-0.508806691130947,1.51881403601753,-0.286548265270441,-0.67647532818361,-0.637482621892293,-0.738863658249717,-0.610187727488371,-0.734964387620585,-0.6998709519584,-0.469813984839631,-0.501008149872684,-0.341138054078285,-0.313843159674363,0.653175956350295,1.78786370942762,0.161867857079703,-0.345037324707417,0.161867857079703,-0.37623148974047,-0.313843159674363
34,NaN,NaN,1,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.740163415126094,-0.20726309581143,-0.0772874081737075,1.06649864303825,-0.428221764795559,-0.558197452433282,1.61889531549858,-0.636182865015916,1.69038194369932,0.436116557995298,-0.733664630744208,-0.233258233338975,-0.701170708834777,-0.135776467610683,-0.675175571307233,-0.571195021197055,-0.369732705358584,-0.226759448957089,-0.0187983487367323,-0.148774036374455,2.85366434805694,1.9828272408842,0.260649379684372,0.0136955731726984,0.865036327199783,0.28014573283003,-0.532202314905738
35,NaN,NaN,1,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.636904952169459,-0.400060365807386,-0.122778898846911,0.668628621436113,-0.290303118468864,-0.573361282657683,0.865036327199783,-0.590691374342713,0.940133391168245,0.322026787735519,-0.688895227224548,-0.296079815697208,-0.735108805051294,-0.255642935098805,-0.717778713366264,-0.665788438311175,-0.486710824232535,-0.400060365807386,-0.255642935098805,-0.359623485208983,2.10124953406524,2.40163778993908,-0.0130216515083889,-0.365400182437327,0.241153026538713,-0.0187983487367323,-0.521371007602594
36,NaN,NaN,1,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.671565135539518,-0.296079815697208,0.0909588986017893,0.495327704585816,-0.492487521460878,-0.238312843413775,0.807269354916351,-0.631128254941116,0.622415043609367,0.206492843168654,-0.729332107822951,-0.434720549177445,-0.74666219950798,-0.249866237870462,-0.677341832767862,-0.590691374342713,-0.463604035319162,-0.319186604610581,-0.400060365807386,-0.475157429775848,1.76620109482133,2.38430769825406,-0.145885687760284,-0.296079815697208,0.223822934853684,0.177609357026938,-0.561807888200997
37,NaN,NaN,1,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.6336398624317,-0.260666150079973,0.0897030948564973,0.564396910576877,-0.300223968056671,-0.096783761319366,0.739581533045112,-0.622337628724072,0.406165638670083,0.236632133055662,-0.69015103096984,-0.390641837717696,-0.735359965800352,-0.351084019740998,-0.695802147823654,-0.639290979285514,-0.351084019740998,-0.356735136594812,-0.198503864688019,-0.300223968056671,1.96022277346894,1.35555327011084,-0.0346214759274115,-0.125039345588436,0.197074315078964,-0.00071477480452734,-0.543221992770675
38,NaN,NaN,1,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.676258702037547,-0.150940297835084,0.125258038395077,0.748058208325833,-0.150940297835084,-0.102199414970938,0.666823403552256,-0.660011741082832,0.31480591620009,0.130673692046649,-0.692505662992262,-0.356735136594812,-0.735830892204837,-0.270084678169663,-0.687090009340691,-0.627517819173401,-0.465048209626247,-0.475879516929391,-0.378397751201099,-0.421722980413673,2.06406204565778,2.62187437176967,-0.145524644183512,-0.318825561033809,0.179414574910795,-0.14010899053194,-0.605855204567114
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.641276506828746,-0.318093715945759,0.0261662134730746,0.700634646620177,-0.135425181968419,0.0964233419258978,0.539043251178684,-0.648302219674028,0.391503281427755,0.250989024522109,-0.669379358209875,-0.374299418708018,-0.732610773817416,-0.360247993017453,-0.718559348126851,-0.676405071055157,-0.500762249923099,-0.254862300338218,-0.409427982934429,-0.47265939854197,1.90905725600874,1.88095440462761,-0.191630884730677,-0.304042290255194,-0.0511166278250308,0.0472433520089215,-0.528865101304229
40,NaN,NaN,1,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.497321084447859,-0.407133872617602,0.271922781163154,0.420466424177694,-0.0888260661578727,-0.200233798418778,0.956284565051572,-0.614033946816426,0.706943449991451,-0.0357747650812512,-0.714831418862007,-0.497321084447859,-0.730746809184994,-0.343472311325656,-0.67239037800071,-0.698916028539021,-0.52384673498617,-0.449574913478899,-0.364692831756305,-0.497321084447859,1.76266434141622,2.9297929651019,-0.0623004156195619,-0.269200489818386,0.0650227069643299,-0.147182497342156,-0.608728816708764
41,NaN,NaN,1,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.643890725561874,-0.492756205052894,-0.130033355831342,0.426141679641705,-0.305349399621758,-0.0877156900888271,0.655866150815355,-0.613663821460078,0.686093054917151,0.148054161905182,-0.67411762966367,-0.52298310915469,-0.710389914585825,-0.396030111927147,-0.692253772124748,-0.662026868022952,-0.468574681771457,-0.498801585873253,-0.359757827004991,-0.462529300951098,1.35713032597702,2.82011248450395,-0.166305640753497,-0.504846966693612,0.123872638623745,0.23873487421057,-0.529028489975049
42,NaN,NaN,1,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.602760545337644,-0.375303091971629,0.293143301593803,0.696996331039585,-0.0178699509678914,-0.231401437801293,0.836255996365716,-0.644538444935484,0.557736665713453,0.107463747825627,-0.67239037800071,-0.431006958102082,-0.718810266442754,-0.310315248152768,-0.658464411468097,-0.649180433779688,-0.579550601116622,-0.347451158906403,-0.287105303931746,-0.495994801920943,1.37008471344922,2.50272999143509,-0.263895359710724,-0.370661103127425,0.126031703202445,0.153883636267671,-0.514562757297761
43,NaN,NaN,1,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.653822422623893,-0.424817639643143,0.187924887791837,0.732584912178485,-0.226759448957089,0.0270026078594178,1.36389539499028,-0.660011741082832,1.62384677026573,-0.0225119398120958,-0.666201059541771,-0.560982645739805,-0.74666219950798,-0.511468098068291,-0.715715607213284,-0.709526288754345,-0.530036053445109,-0.480521505773595,-0.412439002725264,-0.307220588923298,1.11632265663271,2.44702612530464,0.0950851109077488,-0.226759448957089,0.225060798545472,-0.115351716696184,-0.319599225841177
44,NaN,NaN,1,NaN,NaN,18,0.309016994374947,0.951056516295154,NaN,1,NaN,-0.471113741716008,-0.278749724012178,0.0799831738679372,0.662274254484936,-0.112380843835893,-0.283948751517687,1.47332254534433,-0.429521521671937,2.2739727811927,-0.133176953857928,-0.65307970440882,-0.601089429353731,-0.736264144496963,-0.564696236815168,-0.731065116991454,-0.684273869441873,-0.377531246616847,-0.419123466660919,-0.205963338935053,-0.169570146396491,1.11978867496972,2.63270567907281,0.464711209275597,-0.211162366440562,0.464711209275597,-0.252754586484633,-0.169570146396491
